nation,link,description
0-Cloud,https://cloud.r-project.org/,"Automatic redirection to servers worldwide, currently sponsored by Posit"
Argentina,http://mirror.fcaglp.unlp.edu.ar/CRAN/,Universidad Nacional de La Plata
Australia,https://cran.csiro.au/,CSIRO
Australia,https://mirror.aarnet.edu.au/pub/CRAN/,AARNET
Australia,https://cran.ms.unimelb.edu.au/,"School of Mathematics and Statistics, University of Melbourne"
Austria,https://cran.wu.ac.at/,Wirtschaftsuniversität Wien
Belgium,https://www.freestatistics.org/cran/,Patrick Wessa
Belgium,https://ftp.belnet.be/mirror/CRAN/,"Belnet, the Belgian research and education network"
Brazil,https://cran-r.c3sl.ufpr.br/,Universidade Federal do Parana
Brazil,https://cran.fiocruz.br/,"Oswaldo Cruz Foundation, Rio de Janeiro"
Brazil,https://vps.fmvz.usp.br/CRAN/,"University of Sao Paulo, Sao Paulo"
Brazil,https://brieger.esalq.usp.br/CRAN/,"University of Sao Paulo, Piracicaba"
Bulgaria,https://ftp.uni-sofia.bg/CRAN/,Sofia University
Canada,https://mirror.rcg.sfu.ca/mirror/CRAN/,"Simon Fraser University, Burnaby"
Canada,https://muug.ca/mirror/cran/,Manitoba Unix User Group
Canada,https://mirror.csclub.uwaterloo.ca/CRAN/,University of Waterloo
Chile,https://cran.dcc.uchile.cl/,"Departamento de Ciencias de la Computación, Universidad de Chile"
China,https://mirrors.tuna.tsinghua.edu.cn/CRAN/,"TUNA Team, Tsinghua University"
China,https://mirrors.bfsu.edu.cn/CRAN/,Beijing Foreign Studies University
China,https://mirrors.pku.edu.cn/CRAN/,Peking University
China,https://mirrors.ustc.edu.cn/CRAN/,University of Science and Technology of China
China,https://mirrors.zju.edu.cn/CRAN/,Zhejiang University
China,https://mirror-hk.koddos.net/CRAN/,KoDDoS in Hong Kong
China,https://mirrors.e-ducation.cn/CRAN/,Elite Education
China,https://mirrors.qlu.edu.cn/CRAN/,Qilu University of Technology
China,https://mirror.lzu.edu.cn/CRAN/,Lanzhou University Open Source Society
China,https://mirrors.nju.edu.cn/CRAN/,"eScience Center, Nanjing University"
China,https://mirrors.sjtug.sjtu.edu.cn/cran/,Shanghai Jiao Tong University
